Train f1_score,Test f1_score,Overfitting,ROC Area,Precision,Recall,F1-score,Support,Dataset,Visit,Type
0.861,0.852,True,0.9216037664365997,0.8497632371932845,0.8551007147498375,0.8524236208571737,4617.0,Same_Participants_1,1,Same
0.853,0.885,False,0.9473630767157583,0.866135582630428,0.9045676998368679,0.8849345675071816,6130.0,Same_Participants_2,2,Same
0.862,0.847,True,0.9337302111717336,0.8753764188093583,0.8204515848892748,0.8470245433150286,4606.0,Same_Participants_3,3,Same
0.864,0.836,True,0.9324596294071933,0.8837496908236459,0.7927668071888174,0.8357894736842105,4507.0,Same_Participants_4,4,Same
0.861,0.852,True,0.9416627970000915,0.8831502687543819,0.8234909566354326,0.8522778529544429,4589.0,Same_Participants_5,5,Same
0.857,0.875,False,0.9460009781364874,0.8725956566701137,0.8767664172901081,0.8746760650979579,4812.0,Same_Participants_6,6,Same
0.894,0.608,True,0.6236765804155866,0.6499356499356499,0.5712669683257918,0.6080674292594822,884.0,New_Participants_1,1,New
0.889,0.673,True,0.6857539223781999,0.6607929515418502,0.6857142857142857,0.6730229949523275,875.0,New_Participants_2,2,New
0.899,0.692,True,0.7793471265041627,0.7842876165113183,0.619348054679285,0.6921269095182139,951.0,New_Participants_3,3,New
0.9,0.687,True,0.8127244785191325,0.819918144611187,0.5915354330708661,0.6872498570611778,1016.0,New_Participants_4,4,New
0.9,0.715,True,0.8010748876189395,0.7814029363784666,0.6588720770288858,0.7149253731343284,727.0,New_Participants_5,5,New
0.895,0.737,True,0.7990121110325319,0.7263279445727483,0.7488095238095238,0.7373974208675264,840.0,New_Participants_6,6,New
