Dataset,Visit,Type,F1_CV_Train,F1_Test
Same_Participants_1,1,Same,0.6498042557659953,0.608842724690378
Same_Participants_2,2,Same,0.6510798436228018,0.6080987657485567
Same_Participants_3,3,Same,0.6481280430333156,0.6219241386562461
Same_Participants_4,4,Same,0.6409970238762476,0.6637057262147499
Same_Participants_5,5,Same,0.6396858228091361,0.6585177365359052
Same_Participants_6,6,Same,0.6446523312067178,0.6284481555872875
New_Participants_1,1,New,0.6283352046609036,0.6451063632520809
New_Participants_2,2,New,0.6326404759553652,0.7373248249951388
New_Participants_3,3,New,0.6316640143228619,0.7515433485649567
New_Participants_4,4,New,0.622426593557091,0.7528177495182934
New_Participants_5,5,New,0.6231123984539797,0.7590050751729839
New_Participants_6,6,New,0.6282580889048182,0.6672006668219744
