F1_CV_Train,F1_Test,Dataset,Visit,Type
0.6833820770729045,0.6087563348297678,Same_Participants_1,1,Same
0.6744782386295376,0.635383056031359,Same_Participants_2,2,Same
0.6819877686922939,0.6226703667426314,Same_Participants_3,3,Same
0.6773528518633609,0.6729450061744082,Same_Participants_4,4,Same
0.67705188567038,0.6634274222498212,Same_Participants_5,5,Same
0.6778938930570062,0.6468804189948842,Same_Participants_6,6,Same
0.6697313137669454,0.6362586736182223,New_Participants_1,1,New
0.6635973858740124,0.6508309559327476,New_Participants_2,2,New
0.6684808157010169,0.786774754380804,New_Participants_3,3,New
0.6641099017017403,0.7636791615497257,New_Participants_4,4,New
0.662424113367055,0.7729485077283234,New_Participants_5,5,New
0.6667581778678102,0.7032718085916783,New_Participants_6,6,New
