F1_CV_Train,F1_Test,CI_Train,Binomial_SE,Dataset,Visit,Type
0.6303,0.5877,"(0.6219, 0.6387)",0.005194820276131123,Same_Participants_1,1,Same
0.6288,0.5785,"(0.6236, 0.6341)",0.0046479474430854715,Same_Participants_2,2,Same
0.6233,0.6228,"(0.6169, 0.6296)",0.004900817322486276,Same_Participants_3,3,Same
0.6171,0.6497,"(0.6114, 0.6228)",0.004805606293887573,Same_Participants_4,4,Same
0.6174,0.6381,"(0.6084, 0.6263)",0.004802860063413507,Same_Participants_5,5,Same
0.6204,0.5934,"(0.614, 0.6267)",0.00504917115299197,Same_Participants_6,6,Same
0.6279,0.5413,"(0.6203, 0.6355)",0.011522920891959335,New_Participants_1,1,New
0.6272,0.5935,"(0.6185, 0.6358)",0.011940993371367203,New_Participants_2,2,New
0.6226,0.6317,"(0.6154, 0.6298)",0.01166087911329653,New_Participants_3,3,New
0.6141,0.6437,"(0.612, 0.6162)",0.011632279114779261,New_Participants_4,4,New
0.6168,0.662,"(0.6094, 0.6243)",0.011777962335488827,New_Participants_5,5,New
0.6199,0.641,"(0.6124, 0.6274)",0.011357397186504395,New_Participants_6,6,New
